Year,Metric,Value
2009,Alcohol price index relative to Retail price index (all items),124.2596676
2008,Alcohol price index relative to Retail price index (all items),119.2755589
2007,Alcohol price index relative to Retail price index (all items),119.2714515
2006,Alcohol price index relative to Retail price index (all items),120.8107891
2005,Alcohol price index relative to Retail price index (all items),121.7188876
2004,Alcohol price index relative to Retail price index (all items),122.7384329
2003,Alcohol price index relative to Retail price index (all items),124.0099729
2002,Alcohol price index relative to Retail price index (all items),124.9386057
2001,Alcohol price index relative to Retail price index (all items),124.20501
2000,Alcohol price index relative to Retail price index (all items),123.8052379
1999,Alcohol price index relative to Retail price index (all items),125.5115151
1998,Alcohol price index relative to Retail price index (all items),124.2201191
1997,Alcohol price index relative to Retail price index (all items),124.2403144
1996,Alcohol price index relative to Retail price index (all items),124.6701949
1995,Alcohol price index relative to Retail price index (all items),124.1020459
1994,Alcohol price index relative to Retail price index (all items),123.7296572
1993,Alcohol price index relative to Retail price index (all items),123.7006927
1992,Alcohol price index relative to Retail price index (all items),120.3443565
1991,Alcohol price index relative to Retail price index (all items),117.3012584
1990,Alcohol price index relative to Retail price index (all items),110.4807791
1989,Alcohol price index relative to Retail price index (all items),110.2798647
1988,Alcohol price index relative to Retail price index (all items),112.4743256
1987,Alcohol price index relative to Retail price index (all items),112.3341484
1986,Alcohol price index relative to Retail price index (all items),112.3917195
1985,Alcohol price index relative to Retail price index (all items),111.2122208
1984,Alcohol price index relative to Retail price index (all items),111.0057049
1983,Alcohol price index relative to Retail price index (all items),110.1455516
1982,Alcohol price index relative to Retail price index (all items),107.1932179
1981,Alcohol price index relative to Retail price index (all items),104.5067471
1980,Alcohol price index relative to Retail price index (all items),100
2015,Real household disposable income (revised),240.0980641
2014,Real household disposable income (revised),232.3681504
2013,Real household disposable income (revised),230.8701898
2012,Real household disposable income (revised),232.4660496
2011,Real household disposable income (revised),226.5618012
2010,Real household disposable income (revised),231.2537485
2009,Real household disposable income (revised),229.9048008
2008,Real household disposable income (revised),224.2200526
2007,Real household disposable income (revised),226.0057338
2006,Real household disposable income (revised),219.863848
2005,Real household disposable income (revised),215.8559584
2004,Real household disposable income (revised),211.5935308
2003,Real household disposable income (revised),208.6588224
2002,Real household disposable income (revised),203.9734704
2001,Real household disposable income (revised),198.6720748
2000,Real household disposable income (revised),189.2595318
1999,Real household disposable income (revised),177.793579
1998,Real household disposable income (revised),171.6599374
1997,Real household disposable income (revised),167.4840733
1996,Real household disposable income (revised),160.9837735
1995,Real household disposable income (revised),156.1436377
1994,Real household disposable income (revised),152.016208
1993,Real household disposable income (revised),149.0794385
1992,Real household disposable income (revised),144.9548942
1991,Real household disposable income (revised),140.4568904
1990,Real household disposable income (revised),137.3863597
1989,Real household disposable income (revised),131.7418017
1988,Real household disposable income (revised),124.7256246
1987,Real household disposable income (revised),117.8998873
1986,Real household disposable income (revised),115.9738496
1985,Real household disposable income (revised),111.0708522
1984,Real household disposable income (revised),106.0584139
1983,Real household disposable income (revised),102.129668
1982,Real household disposable income (revised),99.78297296
1981,Real household disposable income (revised),99.6514789
1980,Real household disposable income (revised),100
2015,Real disposable income per adult (18+) (revised),196.359194
2014,Real disposable income per adult (18+) (revised),190.0374454
2013,Real disposable income per adult (18+) (revised),190.3359628
2012,Real disposable income per adult (18+) (revised),191.8907729
2011,Real disposable income per adult (18+) (revised),189.2673314
2010,Real disposable income per adult (18+) (revised),195.017322
2009,Real disposable income per adult (18+) (revised),195.7086907
2008,Real disposable income per adult (18+) (revised),192.4851238
2007,Real disposable income per adult (18+) (revised),195.860624
2006,Real disposable income per adult (18+) (revised),192.3455133
2005,Real disposable income per adult (18+) (revised),190.5564653
2004,Real disposable income per adult (18+) (revised),188.6867355
2003,Real disposable income per adult (18+) (revised),187.4176227
2002,Real disposable income per adult (18+) (revised),184.4249728
2001,Real disposable income per adult (18+) (revised),180.7784215
2000,Real disposable income per adult (18+) (revised),173.2599419
1999,Real disposable income per adult (18+) (revised),163.6721864
1998,Real disposable income per adult (18+) (revised),158.8136734
1997,Real disposable income per adult (18+) (revised),155.5812387
1996,Real disposable income per adult (18+) (revised),149.9630737
1995,Real disposable income per adult (18+) (revised),145.6817495
1994,Real disposable income per adult (18+) (revised),142.0547275
1993,Real disposable income per adult (18+) (revised),139.5095842
1992,Real disposable income per adult (18+) (revised),135.88522
1991,Real disposable income per adult (18+) (revised),131.9505006
1990,Real disposable income per adult (18+) (revised),129.548387
1989,Real disposable income per adult (18+) (revised),124.7683376
1988,Real disposable income per adult (18+) (revised),118.7740565
1987,Real disposable income per adult (18+) (revised),112.7708036
1986,Real disposable income per adult (18+) (revised),111.5592433
1985,Real disposable income per adult (18+) (revised),107.4850671
1984,Real disposable income per adult (18+) (revised),103.39106
1983,Real disposable income per adult (18+) (revised),100.3290489
1982,Real disposable income per adult (18+) (revised),98.70540999
1981,Real disposable income per adult (18+) (revised),99.05525279
1980,Real disposable income per adult (18+) (revised),100
2015,Affordability of alcohol index on a per capita basis (revised),160.1408888
2014,Affordability of alcohol index on a per capita basis (revised),154.3079534
2013,Affordability of alcohol index on a per capita basis (revised),153.8994609
2012,Affordability of alcohol index on a per capita basis (revised),155.0207738
2011,Affordability of alcohol index on a per capita basis (revised),153.0487271
2010,Affordability of alcohol index on a per capita basis (revised),158.6349273
2009,Affordability of alcohol index on a per capita basis (revised),157.49977
2008,Affordability of alcohol index on a per capita basis (revised),161.3785133
2007,Affordability of alcohol index on a per capita basis (revised),164.2141699
2006,Affordability of alcohol index on a per capita basis (revised),159.2121984
2005,Affordability of alcohol index on a per capita basis (revised),156.5545571
2004,Affordability of alcohol index on a per capita basis (revised),153.7307679
2003,Affordability of alcohol index on a per capita basis (revised),151.1310892
2002,Affordability of alcohol index on a per capita basis (revised),147.6124788
2001,Affordability of alcohol index on a per capita basis (revised),145.5484135
2000,Affordability of alcohol index on a per capita basis (revised),139.9455668
1999,Affordability of alcohol index on a per capita basis (revised),130.4041197
1998,Affordability of alcohol index on a per capita basis (revised),127.8485921
1997,Affordability of alcohol index on a per capita basis (revised),125.2260504
1996,Affordability of alcohol index on a per capita basis (revised),120.2878314
1995,Affordability of alcohol index on a per capita basis (revised),117.3886768
1994,Affordability of alcohol index on a per capita basis (revised),114.8105723
1993,Affordability of alcohol index on a per capita basis (revised),112.7799539
1992,Affordability of alcohol index on a per capita basis (revised),112.9136621
1991,Affordability of alcohol index on a per capita basis (revised),112.4885636
1990,Affordability of alcohol index on a per capita basis (revised),117.2587558
1989,Affordability of alcohol index on a per capita basis (revised),113.1379132
1988,Affordability of alcohol index on a per capita basis (revised),105.6010391
1987,Affordability of alcohol index on a per capita basis (revised),100.388711
1986,Affordability of alcohol index on a per capita basis (revised),99.25930827
1985,Affordability of alcohol index on a per capita basis (revised),96.64861137
1984,Affordability of alcohol index on a per capita basis (revised),93.1403121
1983,Affordability of alcohol index on a per capita basis (revised),91.0876994
1982,Affordability of alcohol index on a per capita basis (revised),92.08176781
1981,Affordability of alcohol index on a per capita basis (revised),94.7835958
1980,Affordability of alcohol index on a per capita basis (revised),100
